code,name
PRCA,Protestant Reformed Churches in America
PVOO,Pleasant View Old Order (Virginia) Mennonite Conference
RCA,Reformed Church in America
RCUS,Reformed Church in the United States
REIDM,Reidenbach Mennonite
RFRM,Reform Judaism
RIVOOMC,Riverdale Old Order (Virginia) Mennonite Conference
RJUD,Reconstructionist Judaism
RMC,Reformed Mennonite Church
ROAA,Romanian Orthodox Archdiocese in Americas
ROC,Patriarchal Parishes of the Russian Orthodox Church in the USA
RONA,Reformed Congregations of North America
ROOR,Russian Orthodox Church Outside of Russia
RPNA,Reformed Presbyterian Church of North America
RZUAP,Reformed Zion Union Apostolic Church
SALV,Salvation Army
SAMC,South Atlantic Mennonite Conference
SAORB,Sardis Association of Old Regular Baptists
SBC,Southern Baptist Convention
SCHG1,Schmiedeleut Hutterite Group 1
SCHG2,Schmiedeleut Hutterite Group 2
SCHW,Schwenkfelder Church
SDAC,Seventh-day Adventist Church
SDB,"Seventh Day Baptist General Conference, USA and Canada"
SERB,Serbian Orthodox Church in North America
SOCA,Syriac Orthodox Church of Antioch
SRAOTB,Solid Rock Association of Old Time Baptists
STHMC,Southeastern Mennonite Conference
STMC,Stauffer Mennonite Church
STMIG,Stauffer Mennonite (independent groups)
SWED,Swedenborgian Church
TAM,Tampico Amish Mennonite
THBUD,Theravada Buddhist
TOT,All denominations/groups
UAMMEN,Unaffiliated Amish-Mennonite (Spring Garden network)
UCAM,Unaffiliated Conservative Amish Mennonite Church
UCC,United Church of Christ
UCMN,Unaffiliated Conservative Mennonite
UCMNG,Unaffiliated Conservative Mennonite (Grandview fellowship)
UCTH,"United Catholic Church, Inc."
UFM,Unaffiliated Friends Meetings
UHCA,"United Holy Church of America, Inc."
UHPR,United House of Prayer
UMC,"United Methodist Church, The"
UMWCF,Unaffiliated Mennonite (Wisler Christian Fellowship)
UOC,Ukrainian Orthodox Church of the USA
URC,United Reformed Churches in North America
USMB,U.S. Mennonite Brethren
UUA,Unitarian Universalist Association of Congregations
UZC,United Zion Church
VAJBUD,Vajarayana Buddhist
VINE,Vineyard USA
WCMF,Western Conservative Mennonite Fellowship
WELS,Wisconsin Evangelical Lutheran Synod
WES,"Wesleyan Church, The"
WFMC,Washington-Franklin Mennonite Conference
WMC,Weaverland Mennonite Conference
WMCO,Wisler Mennonite Conference (Ohio)
WMCOI,Wisler Mennonite Conference (Ohio-Indiana)
